q (nm-1);I(q);SEM
3.5723;40.3813;8.7673
3.5865;43.6948;8.154
3.6007;49.6046;9.0002
3.6149;55.6296;10.4666
3.6292;60.746;8.5941
3.6434;64.5443;6.9446
3.6576;67.3245;11.0065
3.6718;53.6997;8.8007
3.686;45.2173;8.0057
3.7003;41.483;9.9636
3.7145;29.8339;7.5585
3.7287;26.2586;9.2214
3.7429;26.2043;9.6922
3.7572;24.6506;7.1377
3.7714;28.3968;7.2502
3.7856;35.0169;6.8398
3.7998;33.0216;4.2651
3.814;26.9172;3.854
3.8283;24.1446;5.1235
3.8425;20.0568;3.7228
3.8567;19.4986;3.8748
3.8709;20.2541;3.221
3.8851;23.4826;3.7612
3.8994;26.1902;4.8573
3.9136;22.978;2.9449
3.9278;19.4191;2.1811
3.942;15.7189;1.8667
3.9562;13.7818;2.2308
3.9705;12.1485;2.1548
3.9847;14.1452;2.6218
3.9989;19.2511;3.6186
4.0131;23.5719;4.7801
4.0273;23.689;4.3663
4.0416;20.5032;2.1434
4.0558;18.4417;1.2124
4.07;15.7759;1.998
4.0842;14.007;2.5929
4.0984;11.8231;2.1666
4.1127;10.1668;1.5794
4.1269;11.7336;2.1552
4.1411;15.5054;2.1025
4.1553;19.8354;1.8171
4.1695;24.1307;2.9004
4.1837;23.1297;3.4909
4.198;16.6201;2.5554
4.2122;11.6511;1.5642
4.2264;8.9122;0.9773
4.2406;9.0428;1.7007
4.2548;9.2116;1.703
4.2691;11.3748;1.3398
4.2833;17.8598;1.4071
4.2975;22.0656;1.5885
4.3117;20.1973;2.1136
4.3259;19.7999;2.6862
4.3401;18.9655;2.3681
4.3544;23.4017;4.7749
4.3686;28.3551;6.8721
4.3828;26.9681;5.4283
4.397;26.5724;3.9854
4.4112;27.6228;4.1114
4.4254;24.2489;3.6096
4.4396;19.3626;3.4038
4.4539;19.3617;4.4275
4.4681;16.8149;2.8833
4.4823;15.3618;1.6023
4.4965;18.3502;2.1387
4.5107;22.9193;3.252
4.5249;24.9885;3.655
4.5392;23.8257;2.8586
4.5534;25.4649;3.2462
4.5676;26.9885;3.6665
4.5818;30.04;5.4295
4.596;33.3597;6.3387
4.6102;36.0688;4.8093
4.6244;40.5934;5.6325
4.6387;41.7487;6.1748
4.6529;35.8596;5.0787
4.6671;29.2966;4.0512
4.6813;28.508;4.1226
4.6955;25.9989;2.0332
4.7097;24.7358;2.7692
4.7239;26.1932;3.6993
4.7381;25.0163;3.3756
4.7524;20.8338;2.6922
4.7666;18.8832;3.2888
4.7808;19.6352;5.2668
4.795;16.419;5.1558
4.8092;12.9484;3.1159
4.8234;12.7498;2.3123
4.8376;11.7788;1.2743
4.8518;11.3711;0.8462
4.8661;11.3419;1.1461
4.8803;13.2567;1.9288
4.8945;14.5052;1.6205
4.9087;15.807;2.0887
4.9229;18.549;1.9555
4.9371;24.4016;1.6588
4.9513;26.3737;2.1462
4.9655;22.2085;2.6355
4.9797;18.8298;2.5754
