r (nm);f(r)
3.76;1.13E-03
3.77;1.07E-03
3.78;9.88E-04
3.79;1.12E-03
3.8;1.10E-03
3.81;1.11E-03
3.82;1.07E-03
3.83;1.02E-03
3.84;1.00E-03
3.85;1.01E-03
3.86;1.05E-03
3.87;1.07E-03
3.88;1.08E-03
3.89;9.94E-04
3.9;9.94E-04
3.91;1.03E-03
3.92;1.02E-03
3.93;9.81E-04
3.94;9.24E-04
3.95;1.03E-03
3.96;1.00E-03
3.97;9.44E-04
3.98;9.30E-04
3.99;8.68E-04
4;9.25E-04
4.01;9.08E-04
4.02;1.04E-03
4.03;9.36E-04
4.04;8.48E-04
4.05;9.90E-04
4.06;9.17E-04
4.07;9.41E-04
4.08;9.45E-04
4.09;8.26E-04
4.1;8.10E-04
4.11;8.97E-04
4.12;9.27E-04
4.13;8.96E-04
4.14;7.56E-04
4.15;9.00E-04
4.16;8.15E-04
4.17;8.25E-04
4.18;8.99E-04
4.19;8.46E-04
4.2;8.02E-04
4.21;8.08E-04
4.22;7.50E-04
4.23;7.76E-04
4.24;8.14E-04
4.25;7.56E-04
4.26;7.32E-04
4.27;8.05E-04
4.28;8.17E-04
4.29;8.26E-04
4.3;7.41E-04
4.31;7.70E-04
4.32;8.12E-04
4.33;7.17E-04
4.34;7.24E-04
4.35;8.01E-04
4.36;7.09E-04
4.37;7.16E-04
4.38;7.06E-04
4.39;7.05E-04
4.4;6.33E-04
4.41;7.34E-04
4.42;6.51E-04
4.43;6.71E-04
4.44;7.10E-04
4.45;6.84E-04
4.46;6.72E-04
4.47;7.40E-04
4.48;6.37E-04
4.49;6.76E-04
4.5;5.79E-04
4.51;6.12E-04
4.52;6.32E-04
4.53;6.22E-04
4.54;6.45E-04
4.55;5.80E-04
4.56;6.18E-04
4.57;6.01E-04
4.58;5.66E-04
4.59;5.39E-04
4.6;7.27E-04
4.61;5.29E-04
4.62;5.18E-04
4.63;5.34E-04
4.64;5.95E-04
4.65;6.17E-04
4.66;5.46E-04
4.67;5.63E-04
4.68;5.29E-04
4.69;5.50E-04
4.7;5.72E-04
4.71;4.77E-04
4.72;4.71E-04
4.73;5.01E-04
4.74;4.94E-04
4.75;5.18E-04
4.76;5.15E-04
4.77;4.76E-04
4.78;5.50E-04
4.79;5.02E-04
4.8;5.35E-04
4.81;4.60E-04
4.82;4.49E-04
4.83;4.80E-04
4.84;4.99E-04
4.85;5.30E-04
4.86;4.26E-04
4.87;4.84E-04
4.88;4.46E-04
4.89;4.18E-04
4.9;3.74E-04
4.91;4.48E-04
4.92;4.06E-04
4.93;4.22E-04
4.94;4.29E-04
4.95;3.92E-04
4.96;4.03E-04
4.97;3.83E-04
4.98;4.13E-04
4.99;4.34E-04
5;3.85E-04
5.01;4.16E-04
5.02;3.96E-04
5.03;3.52E-04
5.04;3.21E-04
5.05;3.65E-04
5.06;3.46E-04
5.07;3.80E-04
5.08;3.28E-04
5.09;3.41E-04
5.1;3.13E-04
5.11;3.35E-04
5.12;3.37E-04
5.13;3.64E-04
5.14;3.52E-04
5.15;2.75E-04
5.16;3.09E-04
5.17;2.90E-04
