r (nm);f(r)
3.94;0.0103
3.95;0.0102
3.96;0.0101
3.97;9.81E-03
3.98;9.92E-03
3.99;9.65E-03
4;9.58E-03
4.01;9.54E-03
4.02;9.37E-03
4.03;9.62E-03
4.04;9.39E-03
4.05;9.36E-03
4.06;9.12E-03
4.07;9.26E-03
4.08;9.35E-03
4.09;9.05E-03
4.1;8.87E-03
4.11;8.94E-03
4.12;8.97E-03
4.13;8.67E-03
4.14;8.81E-03
4.15;8.56E-03
4.16;8.51E-03
4.17;8.58E-03
4.18;8.49E-03
4.19;8.46E-03
4.2;8.18E-03
4.21;8.21E-03
4.22;8.11E-03
4.23;7.98E-03
4.24;7.79E-03
4.25;8.02E-03
4.26;7.80E-03
4.27;7.65E-03
4.28;7.76E-03
4.29;7.66E-03
4.3;7.36E-03
4.31;7.30E-03
4.32;7.27E-03
4.33;7.34E-03
4.34;7.25E-03
4.35;7.02E-03
4.36;6.77E-03
4.37;7.20E-03
4.38;6.95E-03
4.39;6.78E-03
4.4;6.67E-03
4.41;6.34E-03
4.42;6.82E-03
4.43;6.68E-03
4.44;6.40E-03
4.45;6.26E-03
4.46;6.07E-03
4.47;6.18E-03
4.48;6.18E-03
4.49;6.08E-03
4.5;5.97E-03
4.51;6.27E-03
4.52;5.96E-03
4.53;5.75E-03
4.54;5.73E-03
4.55;5.95E-03
4.56;5.72E-03
4.57;5.39E-03
4.58;5.62E-03
4.59;5.48E-03
4.6;5.33E-03
4.61;5.44E-03
4.62;5.37E-03
4.63;5.46E-03
4.64;5.29E-03
4.65;5.21E-03
4.66;5.07E-03
4.67;5.09E-03
4.68;4.90E-03
4.69;4.98E-03
4.7;4.96E-03
4.71;4.89E-03
4.72;4.91E-03
4.73;4.95E-03
4.74;4.64E-03
4.75;4.91E-03
4.76;4.79E-03
4.77;4.89E-03
4.78;4.49E-03
4.79;4.66E-03
4.8;4.53E-03
4.81;4.57E-03
4.82;4.59E-03
4.83;4.34E-03
4.84;4.35E-03
4.85;4.34E-03
4.86;4.17E-03
4.87;4.19E-03
4.88;4.28E-03
4.89;4.19E-03
4.9;4.21E-03
4.91;4.13E-03
4.92;4.20E-03
4.93;4.09E-03
4.94;3.94E-03
4.95;3.91E-03
4.96;4.00E-03
4.97;4.08E-03
4.98;3.98E-03
4.99;3.81E-03
5;3.93E-03
5.01;3.69E-03
5.02;3.88E-03
5.03;3.55E-03
5.04;3.62E-03
5.05;3.84E-03
5.06;3.54E-03
5.07;3.33E-03
5.08;3.51E-03
5.09;3.40E-03
5.1;3.46E-03
5.11;3.41E-03
5.12;3.38E-03
5.13;3.53E-03
5.14;3.27E-03
5.15;3.43E-03
5.16;3.30E-03
5.17;3.09E-03
5.18;3.25E-03
5.19;3.11E-03
5.2;3.19E-03
5.21;3.22E-03
5.22;2.95E-03
5.23;3.13E-03
5.24;3.04E-03
5.25;3.01E-03
5.26;2.82E-03
5.27;2.89E-03
5.28;2.98E-03
5.29;2.91E-03
5.3;2.89E-03
5.31;2.91E-03
5.32;2.71E-03
5.33;2.83E-03
5.34;2.76E-03
5.35;2.64E-03
5.36;2.73E-03
5.37;2.68E-03
5.38;2.63E-03
5.39;2.53E-03
5.4;2.50E-03
5.41;2.61E-03
5.42;2.50E-03
5.43;2.49E-03
5.44;2.37E-03
5.45;2.41E-03
5.46;2.46E-03
5.47;2.28E-03
5.48;2.37E-03
5.49;2.27E-03
5.5;2.28E-03
5.51;2.22E-03
5.52;2.23E-03
5.53;2.18E-03
5.54;2.21E-03
5.55;2.08E-03
5.56;2.04E-03
5.57;2.16E-03
5.58;2.09E-03
5.59;2.21E-03
5.6;2.04E-03
5.61;2.01E-03
5.62;1.99E-03
5.63;1.86E-03
5.64;1.95E-03
5.65;1.88E-03
5.66;1.94E-03
5.67;1.85E-03
5.68;1.77E-03
5.69;1.78E-03
5.7;1.80E-03
5.71;1.72E-03
5.72;1.71E-03
5.73;1.73E-03
5.74;1.75E-03
5.75;1.80E-03
5.76;1.67E-03
5.77;1.70E-03
5.78;1.65E-03
5.79;1.66E-03
5.8;1.55E-03
5.81;1.65E-03
5.82;1.54E-03
5.83;1.50E-03
5.84;1.59E-03
5.85;1.59E-03
5.86;1.45E-03
5.87;1.40E-03
5.88;1.47E-03
5.89;1.38E-03
5.9;1.36E-03
5.91;1.33E-03
5.92;1.38E-03
5.93;1.31E-03
5.94;1.26E-03
5.95;1.29E-03
5.96;1.26E-03
5.97;1.23E-03
5.98;1.27E-03
5.99;1.16E-03
