# z rho/M
-76.126 0
-75.626 0
-75.126 0
-74.626 0
-74.126 0
-73.626 0
-73.126 0
-72.626 0
-72.126 0
-71.626 0
-71.126 0
-70.626 0
-70.126 0
-69.626 0
-69.126 0
-68.626 0
-68.126 0
-67.626 0
-67.126 0
-66.626 0
-66.126 0
-65.626 0
-65.126 0
-64.626 0
-64.126 0
-63.626 0
-63.126 0
-62.626 0
-62.126 0
-61.626 0
-61.126 0
-60.626 0
-60.126 0
-59.626 0
-59.126 0
-58.626 0
-58.126 0
-57.626 0
-57.126 0
-56.626 0
-56.126 0
-55.626 0
-55.126 0
-54.626 0
-54.126 0
-53.626 0
-53.126 0
-52.626 0
-52.126 0
-51.626 0
-51.126 0
-50.626 0
-50.126 0
-49.626 0
-49.126 0
-48.626 0
-48.126 0
-47.626 0
-47.126 0
-46.626 0
-46.126 0
-45.626 0
-45.126 0
-44.626 0
-44.126 0
-43.626 0
-43.126 0
-42.626 0
-42.126 0
-41.626 0
-41.126 0
-40.626 0
-40.126 0
-39.626 0
-39.126 0
-38.626 0
-38.126 0
-37.626 0
-37.126 0
-36.626 0
-36.126 0
-35.626 0
-35.126 0
-34.626 0
-34.126 0
-33.626 0
-33.126 0
-32.626 0.000578827
-32.126 0.000289413
-31.626 0.000578827
-31.126 0.00260472
-30.626 0.0043412
-30.126 0.0109977
-29.626 0.0185225
-29.126 0.0402285
-28.626 0.0738004
-28.126 0.139497
-27.626 0.230663
-27.126 0.388682
-26.626 0.588088
-26.126 0.919756
-25.626 1.25548
-25.126 1.67484
-24.626 2.08551
-24.126 2.35264
-23.626 2.55755
-23.126 2.58938
-22.626 2.5616
-22.126 2.43831
-21.626 2.48751
-21.126 2.52455
-20.626 2.50169
-20.126 2.51877
-19.626 2.58996
-19.126 2.42586
-18.626 2.16626
-18.126 1.81346
-17.626 1.4216
-17.126 1.00137
-16.626 0.714851
-16.126 0.459299
-15.626 0.272627
-15.126 0.173359
-14.626 0.0911652
-14.126 0.0463061
-13.626 0.0289413
-13.126 0.0112871
-12.626 0.00810358
-12.126 0.00260472
-11.626 0.00086824
-11.126 0.000289413
-10.626 0
-10.126 0.000289413
-9.62603 0
-9.12603 0
-8.62603 0
-8.12603 0
-7.62603 0
-7.12603 0
-6.62603 0
-6.12603 0
-5.62603 0
-5.12603 0
-4.62603 0
-4.12603 0
-3.62603 0
-3.12603 0
-2.62603 0
-2.12603 0
-1.62603 0
-1.12603 0
-0.626029 0
-0.126029 0
0.373971 0
0.873971 0
1.37397 0
1.87397 0
2.37397 0
2.87397 0
3.37397 0
3.87397 0
4.37397 0
4.87397 0
5.37397 0
5.87397 0
6.37397 0
6.87397 0
7.37397 0
7.87397 0
8.37397 0
8.87397 0
9.37397 0.000289413
9.87397 0.000289413
10.374 0
10.874 0.000578827
11.374 0.00173648
11.874 0.00260472
12.374 0.00810358
12.874 0.0115765
13.374 0.0219954
13.874 0.0454379
14.374 0.103321
14.874 0.164676
15.374 0.284493
15.874 0.437593
16.374 0.700381
16.874 1.03465
17.374 1.3834
17.874 1.82996
18.374 2.17349
18.874 2.42152
19.374 2.57578
19.874 2.55002
20.374 2.56131
20.874 2.45307
21.374 2.45249
21.874 2.50227
22.374 2.57057
22.874 2.62035
23.374 2.52716
23.874 2.33412
24.374 2.05947
24.874 1.63808
25.374 1.28094
25.874 0.934805
26.374 0.615293
26.874 0.38984
27.374 0.225453
27.874 0.135445
28.374 0.0683016
28.874 0.038492
29.374 0.0191013
29.874 0.00984006
30.374 0.00173648
30.874 0.00318355
31.374 0.00086824
31.874 0.000578827
32.374 0.000289413
32.874 0
33.374 0
33.874 0
34.374 0
34.874 0
35.374 0
35.874 0
36.374 0
36.874 0
37.374 0
37.874 0
38.374 0
38.874 0
39.374 0
39.874 0
40.374 0
40.874 0
41.374 0
41.874 0
42.374 0
42.874 0
43.374 0
43.874 0
44.374 0
44.874 0
45.374 0
45.874 0
46.374 0
46.874 0
47.374 0
47.874 0
48.374 0
48.874 0
49.374 0
49.874 0
50.374 0
50.874 0
51.374 0
51.874 0
52.374 0
52.874 0
53.374 0
53.874 0
54.374 0
54.874 0
55.374 0
55.874 0
56.374 0
56.874 0
57.374 0
57.874 0
58.374 0
58.874 0
59.374 0
59.874 0
60.374 0
60.874 0
61.374 0
61.874 0
62.374 0
62.874 0
63.374 0
63.874 0
64.374 0
64.874 0
65.374 0
65.874 0
66.374 0
66.874 0
67.374 0
67.874 0
68.374 0
68.874 0
69.374 0
69.874 0
70.374 0
70.874 0
71.374 0
71.874 0
72.374 0
72.874 0
73.374 0
73.874 0
74.374 0
74.874 0
75.374 0
75.874 0
